,Country / Dependency,Population,% ofworld,Date,Source (official or fromthe United Nations)
0,World,"8,074,600,000",100%,30 Nov 2023,UN projection[3]
1,China,"1,411,750,000",17.5%,31 Dec 2022,Official estimate[4]
2,India,"1,392,329,000",17.2%,1 Mar 2023,Official projection[5]
3,United States,"334,233,854",4.1%,1 Jan 2023,Official estimate[7]
4,Indonesia,"279,118,866",3.5%,1 Jul 2023,National annual projection[8]
5,Pakistan,"241,499,431",3.0%,1 Mar 2023,2023 census result[9]
6,Nigeria,"216,783,400",2.7%,21 Mar 2022,Official projection[10]
7,Brazil,"203,062,512",2.5%,1 Aug 2022,2022 census result[11]
8,Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[12]
9,Russia,"146,424,729",1.8%,1 Jan 2023,Official estimate[13]
10,Mexico,"129,202,482",1.6%,30 Jun 2023,National quarterly estimate[14]
11,Japan,"124,340,000",1.5%,1 Oct 2023,Official estimate[15]
12,Philippines,"112,892,781",1.4%,1 Jul 2023,Official projection[16]
13,Ethiopia,"107,334,000",1.3%,1 Jul 2023,National annual projection[17]
14,Egypt,"105,615,000",1.3%,30 Nov 2023,National population clock[18]
15,Vietnam,"100,000,000",1.2%,Apr 2023,Official estimate[19]
16,DR Congo,"95,370,000",1.2%,1 Jul 2019,Official figure[20]
17,Turkey,"85,279,553",1.1%,31 Dec 2022,Official estimate[21]
18,Germany,"84,482,267",1.0%,30 Jun 2023,National quarterly estimate[22]
19,Iran,"84,038,000",1.0%,1 Jan 2020,Official estimate[23]
20,Thailand,"68,263,022",0.8%,1 Jul 2021,Official estimate[24]
21,France,"68,184,000",0.8%,1 Sep 2023,Monthly national estimate[25]
22,United Kingdom,"67,026,292",0.8%,30 Jun 2021,Official estimate[26]
23,South Africa,"62,027,503",0.8%,2 Feb 2022,2022 census result[27]
24,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result[28]
25,Italy,"58,780,965",0.7%,31 Jul 2023,Monthly national estimate[29]
26,Myanmar,"55,770,232",0.7%,1 Jul 2022,National annual projection[30]
27,Colombia,"52,215,503",0.6%,30 Jun 2023,Official projection[31]
28,Kenya,"51,526,000",0.6%,1 Jan 2023,Official projection[32]
29,South Korea,"51,439,038",0.6%,31 Dec 2022,Official estimate[33]
30,Spain,"48,345,223",0.6%,1 Jul 2023,Official estimate[34]
31,Argentina,"46,654,581",0.6%,1 Jul 2023,National annual projection[35]
32,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate[36]
33,Iraq,"43,324,000",0.5%,1 Jul 2023,Official estimate[37]
34,Uganda,"42,885,900",0.5%,1 Jul 2021,Official projection[38]
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection[39]
36,Ukraine,"41,130,432",0.5%,1 Feb 2022,National monthly estimate[40]
37,Canada,"40,097,761",0.5%,1 Oct 2023,National quarterly estimate[41]
38,Poland,"37,677,000",0.5%,30 Sep 2023,National monthly estimate[42]
39,Morocco,"37,022,000",0.5%,1 Jul 2023,Official projection[43]
40,Uzbekistan,"36,599,764",0.5%,1 Oct 2023,National quarterly estimate[44]
41,Afghanistan,"34,262,840",0.4%,1 Jan 2023,Official estimate[45]
42,Peru,"33,396,698",0.4%,1 Jul 2022,National annual projection[46]
43,Malaysia,"33,379,500",0.4%,30 Jun 2023,National quarterly estimate[47]
44,Angola,"33,086,278",0.4%,30 Jun 2022,National annual projection[48]
45,Mozambique,"32,419,747",0.4%,1 Jul 2022,National annual projection[49]
46,Saudi Arabia,"32,175,224",0.4%,10 May 2022,2022 census result[50]
47,Yemen,"31,888,698",0.4%,1 Jul 2022,Official estimate[51]
48,Ghana,"30,832,019",0.4%,27 Jun 2021,2021 census result[52]
49,Ivory Coast,"29,389,150",0.4%,14 Dec 2021,2021 census result[53]
50,Nepal,"29,164,578",0.4%,25 Nov 2021,2021 census result[54]
51,Venezuela,"28,302,000",0.4%,30 Jun 2019,Official projection[55]
52,Cameroon,"28,088,845",0.3%,1 Jul 2023,National annual projection[56]
53,Madagascar,"26,923,353",0.3%,1 Jul 2021,National annual projection[57]
54,Australia,"26,461,912",0.3%,31 Mar 2023,Official projection[58]
55,North Korea,"25,660,000",0.3%,1 Jul 2021,National annual projection[59]
56,Niger,"25,369,415",0.3%,1 Jul 2023,National annual projection[60]
57,Taiwan,"23,399,654",0.3%,31 Aug 2023,Official estimate[61]
58,Syria,"22,923,000",0.3%,1 Jul 2021,Official estimate[62]
59,Mali,"22,395,489",0.3%,15 Jun 2022,2022 census result[63]
60,Burkina Faso,"22,185,654",0.3%,1 Jul 2022,National projection[64]
61,Sri Lanka,"22,037,000",0.3%,1 Jul 2023,Official estimate[65]
62,Malawi,"21,507,723",0.3%,1 Jul 2022,National annual projection[66]
63,Kazakhstan,"20,000,000",0.2%,14 Nov 2023,National quarterly estimate[67]
64,Chile,"19,960,889",0.2%,30 Jun 2023,National annual projection[68]
65,Zambia,"19,610,769",0.2%,14 Sep 2022,2022 census result[69]
66,Romania,"19,051,562",0.2%,1 Jan 2023,Official estimate[70]
67,Senegal,"18,275,743",0.2%,1 Jul 2023,National annual projection[71]
68,Somalia,"18,143,379",0.2%,1 Jul 2023,UN projection[3]
69,Guatemala,"17,602,431",0.2%,1 Jul 2023,National annual projection[72]
70,Netherlands,"17,590,000",0.2%,2022,Official estimate[73]
71,Chad,"17,414,717",0.2%,1 Jul 2022,National annual projection[74]
72,Cambodia,"17,091,464",0.2%,1 Jul 2023,Official projection[75]
73,Ecuador,"16,938,986",0.2%,1 Oct 2022,2022 census result[76]
74,Zimbabwe,"15,178,979",0.2%,20 Apr 2022,2022 census result[77]
75,Guinea,"13,261,638",0.2%,1 Jul 2022,National annual projection[78]
76,South Sudan,"13,249,924",0.2%,1 Jul 2020,National annual projection[79]
77,Rwanda,"13,246,394",0.2%,15 Aug 2022,
78,Burundi,"12,837,740",0.2%,1 Jul 2022,National annual projection[81]
79,Benin,"12,606,998",0.2%,1 Jul 2023,National annual projection[82]
80,Bolivia,"12,006,031",0.1%,1 Jul 2022,National annual projection[83]
81,Tunisia,"11,850,232",0.1%,1 Jan 2023,National estimate[84]
82,Papua New Guinea,"11,781,559",0.1%,1 Jul 2021,National estimate[85]
83,Belgium,"11,772,639",0.1%,1 Aug 2023,Official estimate[86]
84,Haiti,"11,743,017",0.1%,1 Jul 2020,National annual projection[87]
85,Jordan,"11,302,000",0.1%,31 Dec 2022,National estimate[88]
86,Cuba,"11,089,511",0.1%,31 Dec 2022,Official estimate[89]
87,Czech Republic,"10,873,553",0.1%,30 Jun 2023,Official estimate[90]
88,Dominican Republic,"10,760,028",0.1%,10 Nov 2022,2022 census result[91]
89,Sweden,"10,557,822",0.1%,1 Oct 2023,Monthly national estimate[92]
90,Greece,"10,482,487",0.1%,22 Oct 2021,2021 census result[93]
91,Portugal,"10,467,366",0.1%,31 Dec 2022,2022 estimate[94]
92,Azerbaijan,"10,151,517",0.1%,1 Jul 2023,Monthly national estimate[95]
93,Tajikistan,"10,077,600",0.1%,1 Jan 2023,Official estimate[96]
94,Israel,"9,815,600",0.1%,31 Oct 2023,National monthly estimate[97]
95,Honduras,"9,745,149",0.1%,1 Jul 2023,National annual projection[98]
96,Hungary,"9,597,085",0.1%,1 Jan 2023,Official estimate[99]
97,United Arab Emirates,"9,282,410",0.1%,31 Dec 2020,Official estimate[100]
98,Belarus,"9,200,617",0.1%,1 Jan 2023,Official estimate[101]
99,Austria,"9,154,514",0.1%,1 Oct 2023,National quarterly estimate[102]
100,Switzerland,"8,902,308",0.1%,30 Jun 2023,National quarterly estimate[103]
101,Sierra Leone,"8,494,260",0.1%,1 Jul 2022,National annual projection[104]
102,Togo,"8,095,498",0.1%,8 Nov 2022,2022 census result[105]
103,Hong Kong (China),"7,498,100",0.09%,30 Jun 2023,National estimate[106]
104,Laos,"7,443,000",0.09%,1 Jul 2022,National annual projection[107]
105,Kyrgyzstan,"7,100,000",0.09%,1 Mar 2023,Monthly national estimate[108]
106,Turkmenistan,"7,057,841",0.09%,17 Dec 2022,2022 census result[109]
107,Libya,"6,931,061",0.09%,1 Jan 2020,Official estimate[110]
108,El Salvador,"6,884,888",0.09%,1 Jul 2022,National annual projection[111]
109,Nicaragua,"6,733,763",0.08%,30 Jun 2022,Official estimate[112]
110,Serbia,"6,641,197",0.08%,1 Jan 2023,Official estimate[113]
111,Bulgaria,"6,447,710",0.08%,31 Dec 2022,Official annual estimate[114]
112,Paraguay,"6,109,644",0.08%,10 Nov 2022,Preliminary census result[115]
113,Congo,"6,106,869",0.08%,1 Jul 2023,UN projection[3]
114,Denmark,"5,959,464",0.07%,1 Oct 2023,National quarterly estimate[116]
115,Singapore,"5,917,600",0.07%,30 Jun 2023,Official estimate[117]
116,Central African Republic,"5,633,412",0.07%,1 Jul 2020,National annual projection[118]
117,Finland,"5,563,852",0.07%,30 Sep 2023,Monthly national estimate[119]
118,Norway,"5,533,582",0.07%,30 Sep 2023,National quarterly estimate[120]
119,Lebanon,"5,490,000",0.07%,1 Jul 2021,Official estimate[121]
120,Palestine,"5,483,450",0.07%,1 Jan 2023,National annual projection[122]
121,Slovakia,"5,426,352",0.07%,30 Jun 2023,National quarterly estimate[123]
122,Ireland,"5,281,600",0.07%,1 Apr 2023,National estimate[124]
123,Costa Rica,"5,262,225",0.07%,30 Jun 2023,National annual projection[125]
124,Liberia,"5,248,621",0.07%,10 Nov 2022,2022 census result[126]
125,New Zealand,"5,223,100",0.06%,30 Jun 2023,National quarterly estimate[127]
126,Oman,"5,113,071",0.06%,31 Aug 2023,Monthly national estimate[128]
127,Kuwait,"4,670,713",0.06%,31 Dec 2020,Official estimate[129]
128,Mauritania,"4,475,683",0.06%,1 Jul 2023,National annual projection[130]
129,Panama,"4,337,406",0.05%,1 Jul 2021,National annual projection[131]
130,Croatia,"3,855,641",0.05%,1 Jul 2022,Official estimate[132]
131,Eritrea,"3,748,902",0.05%,1 Jul 2023,UN projection[3]
132,Georgia,"3,736,400",0.05%,1 Jan 2023,Official estimate[133]
133,Mongolia,"3,457,548",0.04%,31 Dec 2022,National annual projection[134]
134,Uruguay,"3,444,263",0.04%,27 Nov 2023,2023 National census[135]
135,Bosnia and Herzegovina,"3,277,082",0.04%,1 Jul 2022,Official estimate[136][137]
136,Puerto Rico (US),"3,221,789",0.04%,1 Jul 2022,Annual projection[138]
137,Armenia,"2,981,200",0.04%,1 Jan 2023,National quarterly estimate[139]
138,Lithuania,"2,866,965",0.04%,1 Sep 2023,Monthly national estimate[140]
139,Jamaica,"2,825,544",0.03%,1 Jul 2019,National projection[141]
140,Albania,"2,761,785",0.03%,1 Jan 2023,Official estimate[142]
141,Qatar,"2,656,032",0.03%,30 Jun 2023,Monthly national estimate[143]
142,Namibia,"2,641,857",0.03%,1 Jul 2023,National annual projection[144]
143,Moldova,"2,512,758",0.03%,1 Jan 2023,Official estimate[145]
144,Gambia,"2,417,471",0.03%,1 Jul 2022,National projection[146]
145,Botswana,"2,410,338",0.03%,1 Jul 2021,National annual projection[147]
146,Lesotho,"2,306,000",0.03%,1 Jul 2023,Official projection[148]
147,Gabon,"2,233,272",0.03%,1 Jul 2021,National annual projection[149]
148,Slovenia,"2,117,674",0.03%,1 Apr 2023,National quarterly estimate[150]
149,Latvia,"1,882,000",0.02%,1 Aug 2023,Monthly national estimate[151]
150,North Macedonia,"1,832,696",0.02%,1 Nov 2021,2021 census result[152]
151,Guinea-Bissau,"1,781,308",0.02%,1 Jul 2023,National annual projection[153]
152,Kosovo,"1,773,971",0.02%,31 Dec 2021,Official estimate[154]
153,Bahrain,"1,577,059",0.02%,1 Jul 2023,Official estimate[155]
154,Equatorial Guinea,"1,558,160",0.02%,1 Jul 2022,Official estimate[156]
155,Estonia,"1,365,884",0.02%,1 Jan 2023,Official estimate[157]
156,Trinidad and Tobago,"1,365,805",0.02%,30 Jun 2022,Official estimate[158]
157,East Timor,"1,354,662",0.02%,1 Jul 2023,National annual projection[159]
158,Mauritius,"1,261,041",0.02%,30 Jun 2023,National estimate[160]
159,Eswatini,"1,223,362",0.02%,1 Jul 2023,Official projection[161]
160,Djibouti,"1,001,454",0.01%,1 Jul 2022,National projection [162]
161,Cyprus,"918,100",0.01%,1 Oct 2021,2021 census result[163]
162,Fiji,"893,468",0.01%,1 Jul 2021,National annual projection[164]
163,Bhutan,"770,276",0.010%,2023,National annual projection[165]
164,Comoros,"758,316",0.009%,15 Dec 2017,2017 census result[166]
165,Guyana,"743,699",0.009%,1 Jul 2019,Official estimate[167]
166,Solomon Islands,"734,887",0.009%,1 Jul 2023,National annual projection[168]
167,Macau (China),"678,800",0.008%,30 Jun 2023,National quarterly estimate[169]
168,Luxembourg,"660,809",0.008%,1 Jan 2023,Official estimate[170]
169,Montenegro,"616,695",0.008%,1 Jan 2023,National annual estimate[171]
170,Suriname,"616,500",0.008%,1 Jul 2021,Official estimate[172]
171,Western Sahara,"587,259",0.007%,1 Jul 2023,UN projection[3]
172,Malta,"519,562",0.006%,21 Nov 2021,2021 census result[174]
173,Cape Verde,"491,233",0.006%,16 Jun 2021,2021 census result[175]
174,Brunei,"445,400",0.006%,1 Jul 2022,Official estimate[176]
175,Belize,"441,471",0.005%,1 Jul 2022,Official estimate[177]
176,Bahamas,"397,360",0.005%,1 Jul 2022,National annual projection| [178]
177,Iceland,"396,960",0.005%,1 Oct 2023,National quarterly estimate[179]
178,Northern Cyprus,"382,836",0.005%,31 Dec 2020,Official estimate[180]
179,Maldives,"382,751",0.005%,13 Sep 2022,2022 census result[181]
180,Transnistria,"360,938",0.004%,31 Dec 2022,Official estimate[182]
181,Vanuatu,"301,295",0.004%,1 Jul 2021,National annual projection[183]
182,French Polynesia (France),"279,890",0.003%,1 Jul 2021,National annual projection[183]
183,New Caledonia (France),"268,510",0.003%,1 Jan 2023,National annual projection[184]
184,Barbados,"267,800",0.003%,31 Dec 2022,Official estimate| [185]
185,Abkhazia,"244,236",0.003%,1 Jan 2022,Official estimate[186]
186,São Tomé and Príncipe,"214,610",0.003%,1 Jul 2021,National annual projection[187]
187,Samoa,"205,557",0.003%,6 Nov 2021,Census 2021[188]
188,Saint Lucia,"178,696",0.002%,1 Jul 2018,Official estimate[189]
189,Guam (US),"153,836",0.002%,1 Apr 2020,2020 census result[190]
190,Curacao (Netherlands),"148,925",0.002%,1 Jan 2023,Official estimate[191]
191,Artsakh,"148,900",0.002%,1 Oct 2019,Official estimate[192]
192,Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection[183]
193,Grenada,"112,579",0.001%,1 Jul 2019,Official estimate[194]
194,Saint Vincent and the Grenadines,"110,872",0.001%,1 Jul 2022,Official estimate[195]
195,Aruba (Netherlands),"106,739",0.001%,30 Sep 2022,National quarterly estimate[196]
196,Micronesia,"105,754",0.001%,1 Jul 2021,National annual projection[183]
197,Jersey (UK),"103,267",0.001%,21 Mar 2021,2021 census result[197]
198,Antigua and Barbuda,"100,772",0.001%,1 Jan 2022,National annual estimate[198]
199,Seychelles,"100,447",0.001%,22 Apr 2022,2022 Census[199]
200,Tonga,"100,179",0.001%,1 Jan 2022,National annual estimate[200]
201,U.S. Virgin Islands (US),"87,146",0.001%,1 Apr 2020,2020 census result[201]
202,Isle of Man (UK),"84,069",0.001%,30 May 2021,2021 census result[202]
203,Andorra,"83,523",0.001%,30 Jun 2023,Official estimate[203]
204,Cayman Islands (UK),"71,105",0.0009%,30 Sep 2020,2021 Census[204]
205,Dominica,"67,408",0.0008%,31 Dec 2017,Official estimate[205]
206,Guernsey (UK),"64,234",0.0008%,30 Sep 2022,National quarterly estimate[206]
207,Bermuda (UK),"64,055",0.0008%,1 Jul 2021,National annual projection[207]
208,Greenland (Denmark),"56,865",0.0007%,1 Jul 2023,National quarterly estimate[208]
209,South Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate[209]
210,Faroe Islands (Denmark),"54,738",0.0007%,1 Aug 2023,Monthly national estimate[210]
211,American Samoa (US),"49,710",0.0006%,1 Apr 2020,2020 census result[211]
212,Northern Mariana Islands (US),"47,329",0.0006%,1 Apr 2020,2020 census result[212]
213,Saint Kitts and Nevis,"47,195",0.0006%,15 May 2011,2011 census result[213]
214,Turks and Caicos Islands (UK),"46,131",0.0006%,1 Jul 2021,Official estimate[214]
215,Sint Maarten (Netherlands),"42,938",0.0005%,1 Jan 2023,Official estimate[215]
216,Marshall Islands,"42,418",0.0005%,30 Sep 2021,2021 Census[216]
217,Liechtenstein,"39,680",0.0005%,31 Dec 2022,National estimate[217]
218,Monaco,"39,050",0.0005%,31 Dec 2022,Official estimate[218]
219,Gibraltar (UK),"34,003",0.0004%,1 Jul 2016,Official figure[219]
220,San Marino,"33,881",0.0004%,31 Jul 2023,Monthly national estimate[220]
221,Saint Martin (France),"32,358",0.0004%,1 Jan 2020,Official estimate[221]
222,British Virgin Islands (UK),"31,538",0.0004%,1 Jul 2023,UN projection[3]
223,Åland (Finland),"30,532",0.0004%,31 Aug 2023,Monthly national estimate[119]
224,Palau,"16,733",0.0002%,1 Jul 2021,2021 Census[222]
225,Anguilla (UK),"15,701",0.0002%,31 Dec 2021,Official estimate[223]
226,Cook Islands,"15,040",0.0002%,1 Jul 2021,2021 Census[224]
227,Nauru,"11,680",0.0001%,30 Oct 2021,2021 Census[225]
228,Wallis and Futuna (France),"11,369",0.0001%,1 Jan 2021,National annual projection[183]
229,Tuvalu,"10,679",0.0001%,1 Jul 2021,National annual projection[183]
230,Saint Barthélemy (France),"10,585",0.0001%,1 Jan 2020,Official estimate[221]
231,Saint Pierre and Miquelon (France),"6,092",0%,1 Jan 2020,Official estimate[221]
232,"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1 Jul 2021,2021 Census[226][227][228]
233,Montserrat (UK),"4,433",0%,1 Jul 2022,Official figure[229]
234,Falkland Islands (UK),"3,662",0%,10 Oct 2021,2021 census result[230]
235,Norfolk Island (Australia),"2,188",0%,1 Jan 2021,2021 Census[231]
236,Christmas Island (Australia),"1,692",0%,1 Jan 2021,2021 Census [232]
237,Tokelau (NZ),"1,647",0%,1 Jan 2019,2019 Census [233]
238,Niue,"1,549",0%,1 Jul 2021,National annual projection[183]
239,Vatican City,764,0%,26 Jun 2023,Official figure[234]
240,Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census[235]
241,Pitcairn Islands (UK),47,0%,1 Jul 2021,Official estimate[236]
